Time,Description
9:00 am - 12:00 pm,"Marshall Residential Hall check-in at the ERC Conference Dask and move-in to your assigned rooms in Marshall Residential Hall N, O, or S. (see [Residential Life] {residential.html} for more information)"
12:00 pm - 1:00 pm,Have lunch on your own and walk to the CSE Building (EBU 3B) for the SPIS Welcome Reception
1:15 pm - 2:00 pm,"SPIS Welcome Reception. Light refreshments will be served (Room 1202, CSE Building)"
2:00 pm - 3:00 pm,"SPIS Welcome Ceremony. UC San Diego faculty welcome the students and parents (Room 1202, CSE Building)
\\Welcoming team:\\
* John Moore, Professor and Dean of Undergraduate Education
* Christine Alvarado, CSE Faculty and Associate Dean for Students, Jacobs School of Engineering
* SPIS faculty, staff, and mentors"
3:00 pm - 3:15 pm,Parents depart
3:15 pm - 4:30 pm,"SPIS students, faculty, and mentors stay for arrival activities (Room CSE 1202, CSE Building)"
4:30 pm - 6:00 pm,SPIS students return to Marshall Residential Halls to unpack and settle in
6:00 pm - 7:15 pm,Dinner at Cafe Ventanas